observation_date,DGORDER_20200701
2003-08-01,173044
2003-09-01,178690
2003-10-01,183704
2003-11-01,181685
2003-12-01,181513
2004-01-01,178696
2004-02-01,181662
2004-03-01,190869
2004-04-01,184368
2004-05-01,183459
2004-06-01,185640
2004-07-01,186835
2004-08-01,183728
2004-09-01,188444
2004-10-01,185187
2004-11-01,192545
2004-12-01,193578
2005-01-01,194875
2005-02-01,196475
2005-03-01,186608
2005-04-01,194847
2005-05-01,206623
2005-06-01,210020
2005-07-01,194475
2005-08-01,204839
2005-09-01,203997
2005-10-01,209901
2005-11-01,220733
2005-12-01,221499
2006-01-01,209540
2006-02-01,219738
2006-03-01,227188
2006-04-01,214625
2006-05-01,215819
2006-06-01,221220
2006-07-01,209494
2006-08-01,210473
2006-09-01,234701
2006-10-01,216952
2006-11-01,224809
2006-12-01,229243
2007-01-01,221551
2007-02-01,222873
2007-03-01,230379
2007-04-01,232398
2007-05-01,228051
2007-06-01,228619
2007-07-01,234568
2007-08-01,234668
2007-09-01,227299
2007-10-01,229576
2007-11-01,229933
2007-12-01,242699
2008-01-01,239092
2008-02-01,235536
2008-03-01,233299
2008-04-01,230336
2008-05-01,230445
2008-06-01,228581
2008-07-01,220236
2008-08-01,215792
2008-09-01,212632
2008-10-01,192050
2008-11-01,182774
2008-12-01,172830
2009-01-01,154345
2009-02-01,147275
2009-03-01,145338
2009-04-01,144983
2009-05-01,151235
2009-06-01,145752
2009-07-01,155510
2009-08-01,157400
2009-09-01,157714
2009-10-01,162132
2009-11-01,161194
2009-12-01,159207
2010-01-01,182456
2010-02-01,177800
2010-03-01,180408
2010-04-01,185867
2010-05-01,187420
2010-06-01,187086
2010-07-01,190303
2010-08-01,191056
2010-09-01,200099
2010-10-01,194098
2010-11-01,196077
2010-12-01,193962
2011-01-01,204214
2011-02-01,196031
2011-03-01,211058
2011-04-01,202038
2011-05-01,206487
2011-06-01,200994
2011-07-01,209315
2011-08-01,214141
2011-09-01,207270
2011-10-01,208607
2011-11-01,216469
2011-12-01,225440
2012-01-01,224700
2012-02-01,226506
2012-03-01,219866
2012-04-01,219219
2012-05-01,218076
2012-06-01,218827
2012-07-01,226035
2012-08-01,200976
2012-09-01,216308
2012-10-01,218416
2012-11-01,217429
2012-12-01,230048
2013-01-01,218073
2013-02-01,229422
2013-03-01,210095
2013-04-01,221472
2013-05-01,229880
2013-06-01,241917
2013-07-01,217203
2013-08-01,220757
2013-09-01,231038
2013-10-01,225467
2013-11-01,236490
2013-12-01,230884
2014-01-01,222215
2014-02-01,230832
2014-03-01,231875
2014-04-01,236637
2014-05-01,230521
2014-06-01,237668
2014-07-01,292371
2014-08-01,237497
2014-09-01,234840
2014-10-01,230912
2014-11-01,226026
2014-12-01,224477
2015-01-01,226067
2015-02-01,219756
2015-03-01,227892
2015-04-01,226280
2015-05-01,217585
2015-06-01,230127
2015-07-01,229837
2015-08-01,226095
2015-09-01,220181
2015-10-01,224979
2015-11-01,224660
2015-12-01,221084
2016-01-01,224474
2016-02-01,215814
2016-03-01,214620
2016-04-01,225021
2016-05-01,219099
2016-06-01,207445
2016-07-01,215821
2016-08-01,218632
2016-09-01,216575
2016-10-01,229282
2016-11-01,216770
2016-12-01,220898
2017-01-01,223046
2017-02-01,217634
2017-03-01,225925
2017-04-01,226500
2017-05-01,224671
2017-06-01,241249
2017-07-01,221781
2017-08-01,226087
2017-09-01,239375
2017-10-01,231603
2017-11-01,236004
2017-12-01,241358
2018-01-01,231783
2018-02-01,242175
2018-03-01,246424
2018-04-01,244315
2018-05-01,246483
2018-06-01,247803
2018-07-01,241933
2018-08-01,252267
2018-09-01,256401
2018-10-01,245516
2018-11-01,244910
2018-12-01,250029
2019-01-01,250492
2019-02-01,242267
2019-03-01,252004
2019-04-01,240268
2019-05-01,236720
2019-06-01,236884
2019-07-01,242842
2019-08-01,244018
2019-09-01,241713
2019-10-01,241557
2019-11-01,235237
2019-12-01,241852
2020-01-01,241417
2020-02-01,246195
2020-03-01,205020
2020-04-01,167831
2020-05-01,194419
