observation_date,DGORDER_20170901
2003-08-01,174083
2003-09-01,177974
2003-10-01,183184
2003-11-01,182609
2003-12-01,180561
2004-01-01,176939
2004-02-01,181587
2004-03-01,191247
2004-04-01,184170
2004-05-01,183646
2004-06-01,185488
2004-07-01,187000
2004-08-01,184903
2004-09-01,188154
2004-10-01,185524
2004-11-01,192550
2004-12-01,192812
2005-01-01,193711
2005-02-01,195414
2005-03-01,186766
2005-04-01,195176
2005-05-01,206325
2005-06-01,209315
2005-07-01,197036
2005-08-01,204771
2005-09-01,203914
2005-10-01,210220
2005-11-01,222199
2005-12-01,220093
2006-01-01,207887
2006-02-01,218105
2006-03-01,226896
2006-04-01,214798
2006-05-01,215192
2006-06-01,221025
2006-07-01,212434
2006-08-01,210229
2006-09-01,236085
2006-10-01,217172
2006-11-01,225791
2006-12-01,229595
2007-01-01,217697
2007-02-01,222033
2007-03-01,228802
2007-04-01,231816
2007-05-01,227263
2007-06-01,229731
2007-07-01,238451
2007-08-01,233929
2007-09-01,227276
2007-10-01,228963
2007-11-01,232795
2007-12-01,243079
2008-01-01,236426
2008-02-01,233636
2008-03-01,231216
2008-04-01,229308
2008-05-01,230055
2008-06-01,229237
2008-07-01,223460
2008-08-01,216876
2008-09-01,211788
2008-10-01,192433
2008-11-01,184310
2008-12-01,173752
2009-01-01,153567
2009-02-01,146163
2009-03-01,144350
2009-04-01,143769
2009-05-01,150684
2009-06-01,145217
2009-07-01,156453
2009-08-01,158160
2009-09-01,157770
2009-10-01,162629
2009-11-01,162170
2009-12-01,159713
2010-01-01,182987
2010-02-01,176497
2010-03-01,179211
2010-04-01,187274
2010-05-01,186393
2010-06-01,186484
2010-07-01,190077
2010-08-01,192410
2010-09-01,200338
2010-10-01,194980
2010-11-01,195734
2010-12-01,194759
2011-01-01,204128
2011-02-01,194899
2011-03-01,210464
2011-04-01,201736
2011-05-01,205946
2011-06-01,200008
2011-07-01,208990
2011-08-01,215074
2011-09-01,208403
2011-10-01,209201
2011-11-01,216898
2011-12-01,226410
2012-01-01,224677
2012-02-01,224092
2012-03-01,220496
2012-04-01,218897
2012-05-01,217012
2012-06-01,218729
2012-07-01,224611
2012-08-01,202598
2012-09-01,216919
2012-10-01,218153
2012-11-01,218345
2012-12-01,230294
2013-01-01,216919
2013-02-01,229202
2013-03-01,211757
2013-04-01,220286
2013-05-01,231193
2013-06-01,240895
2013-07-01,215452
2013-08-01,221749
2013-09-01,231395
2013-10-01,224605
2013-11-01,238295
2013-12-01,230735
2014-01-01,221898
2014-02-01,229822
2014-03-01,233750
2014-04-01,236290
2014-05-01,232665
2014-06-01,238124
2014-07-01,290709
2014-08-01,238736
2014-09-01,235647
2014-10-01,230525
2014-11-01,228416
2014-12-01,223741
2015-01-01,226806
2015-02-01,219304
2015-03-01,230337
2015-04-01,226960
2015-05-01,220679
2015-06-01,233102
2015-07-01,231512
2015-08-01,227210
2015-09-01,221142
2015-10-01,227110
2015-11-01,225927
2015-12-01,220920
2016-01-01,226580
2016-02-01,215886
2016-03-01,218633
2016-04-01,229021
2016-05-01,222159
2016-06-01,211453
2016-07-01,220039
2016-08-01,221425
2016-09-01,220333
2016-10-01,233739
2016-11-01,223079
2016-12-01,223681
2017-01-01,224395
2017-02-01,227461
2017-03-01,232817
2017-04-01,230986
2017-05-01,230976
2017-06-01,245866
2017-07-01,229161
