observation_date,DGORDER_20240101
2003-08-01,173044
2003-09-01,178690
2003-10-01,183704
2003-11-01,181685
2003-12-01,181513
2004-01-01,178696
2004-02-01,181662
2004-03-01,190869
2004-04-01,184368
2004-05-01,183459
2004-06-01,185640
2004-07-01,186835
2004-08-01,183728
2004-09-01,188444
2004-10-01,185187
2004-11-01,192545
2004-12-01,193578
2005-01-01,194875
2005-02-01,196475
2005-03-01,186608
2005-04-01,194847
2005-05-01,206623
2005-06-01,210020
2005-07-01,194475
2005-08-01,204839
2005-09-01,203997
2005-10-01,209901
2005-11-01,220733
2005-12-01,221499
2006-01-01,209540
2006-02-01,219738
2006-03-01,227188
2006-04-01,214625
2006-05-01,215819
2006-06-01,221220
2006-07-01,209494
2006-08-01,210473
2006-09-01,234701
2006-10-01,216952
2006-11-01,224809
2006-12-01,229243
2007-01-01,222969
2007-02-01,220962
2007-03-01,229526
2007-04-01,233420
2007-05-01,228836
2007-06-01,228868
2007-07-01,233176
2007-08-01,235758
2007-09-01,226473
2007-10-01,230700
2007-11-01,227005
2007-12-01,244443
2008-01-01,239389
2008-02-01,235037
2008-03-01,234868
2008-04-01,231086
2008-05-01,227370
2008-06-01,229262
2008-07-01,220411
2008-08-01,214106
2008-09-01,215245
2008-10-01,191912
2008-11-01,181552
2008-12-01,173849
2009-01-01,151085
2009-02-01,148834
2009-03-01,146323
2009-04-01,147467
2009-05-01,149255
2009-06-01,147033
2009-07-01,153691
2009-08-01,157489
2009-09-01,158041
2009-10-01,161097
2009-11-01,160419
2009-12-01,160520
2010-01-01,181016
2010-02-01,180450
2010-03-01,182148
2010-04-01,182948
2010-05-01,189932
2010-06-01,185667
2010-07-01,187506
2010-08-01,191745
2010-09-01,201932
2010-10-01,193066
2010-11-01,197202
2010-12-01,193452
2011-01-01,203636
2011-02-01,196393
2011-03-01,212748
2011-04-01,200733
2011-05-01,207170
2011-06-01,201579
2011-07-01,206458
2011-08-01,216705
2011-09-01,204738
2011-10-01,210799
2011-11-01,215531
2011-12-01,223835
2012-01-01,225937
2012-02-01,226558
2012-03-01,221576
2012-04-01,218638
2012-05-01,219624
2012-06-01,217525
2012-07-01,221641
2012-08-01,200956
2012-09-01,217254
2012-10-01,219337
2012-11-01,217198
2012-12-01,230285
2013-01-01,223890
2013-02-01,235117
2013-03-01,216621
2013-04-01,226820
2013-05-01,236294
2013-06-01,246674
2013-07-01,218822
2013-08-01,225984
2013-09-01,238334
2013-10-01,232617
2013-11-01,243461
2013-12-01,237477
2014-01-01,224720
2014-02-01,232400
2014-03-01,234867
2014-04-01,237974
2014-05-01,233821
2014-06-01,238175
2014-07-01,297311
2014-08-01,238130
2014-09-01,236971
2014-10-01,232753
2014-11-01,227919
2014-12-01,225328
2015-01-01,225583
2015-02-01,219261
2015-03-01,228929
2015-04-01,226400
2015-05-01,217773
2015-06-01,229862
2015-07-01,225207
2015-08-01,223617
2015-09-01,218286
2015-10-01,226002
2015-11-01,224273
2015-12-01,218351
2016-01-01,228376
2016-02-01,218324
2016-03-01,217946
2016-04-01,230089
2016-05-01,222343
2016-06-01,207317
2016-07-01,214614
2016-08-01,218193
2016-09-01,216736
2016-10-01,233161
2016-11-01,217757
2016-12-01,219506
2017-01-01,218959
2017-02-01,222710
2017-03-01,222381
2017-04-01,223956
2017-05-01,223013
2017-06-01,236306
2017-07-01,216917
2017-08-01,222157
2017-09-01,228374
2017-10-01,227767
2017-11-01,231932
2017-12-01,240990
2018-01-01,227031
2018-02-01,234407
2018-03-01,242104
2018-04-01,240986
2018-05-01,242260
2018-06-01,241144
2018-07-01,232691
2018-08-01,242703
2018-09-01,245115
2018-10-01,237105
2018-11-01,233504
2018-12-01,239527
2019-01-01,234212
2019-02-01,226038
2019-03-01,234890
2019-04-01,227712
2019-05-01,221561
2019-06-01,220513
2019-07-01,225425
2019-08-01,225092
2019-09-01,222770
2019-10-01,222598
2019-11-01,214077
2019-12-01,216195
2020-01-01,230043
2020-02-01,233666
2020-03-01,199092
2020-04-01,160657
2020-05-01,181645
2020-06-01,198944
2020-07-01,218392
2020-08-01,221125
2020-09-01,226373
2020-10-01,231003
2020-11-01,230692
2020-12-01,234659
2021-01-01,244935
2021-02-01,244658
2021-03-01,246475
2021-04-01,245453
2021-05-01,250043
2021-06-01,253573
2021-07-01,252955
2021-08-01,258736
2021-09-01,254759
2021-10-01,257816
2021-11-01,261651
2021-12-01,267750
2022-01-01,273151
2022-02-01,269191
2022-03-01,268835
2022-04-01,271541
2022-05-01,273368
2022-06-01,277698
2022-07-01,275455
2022-08-01,275063
2022-09-01,275857
2022-10-01,278512
2022-11-01,269783
2022-12-01,281966
2023-01-01,278372
2023-02-01,270825
2023-03-01,279837
2023-04-01,283311
2023-05-01,288857
2023-06-01,301262
2023-07-01,284282
2023-08-01,283917
2023-09-01,295365
2023-10-01,280243
2023-11-01,295357
