observation_date,DGORDER_20220701
2003-08-01,173044
2003-09-01,178690
2003-10-01,183704
2003-11-01,181685
2003-12-01,181513
2004-01-01,178696
2004-02-01,181662
2004-03-01,190869
2004-04-01,184368
2004-05-01,183459
2004-06-01,185640
2004-07-01,186835
2004-08-01,183728
2004-09-01,188444
2004-10-01,185187
2004-11-01,192545
2004-12-01,193578
2005-01-01,194875
2005-02-01,196475
2005-03-01,186608
2005-04-01,194847
2005-05-01,206623
2005-06-01,210020
2005-07-01,194475
2005-08-01,204839
2005-09-01,203997
2005-10-01,209901
2005-11-01,220733
2005-12-01,221499
2006-01-01,209540
2006-02-01,219738
2006-03-01,227188
2006-04-01,214625
2006-05-01,215819
2006-06-01,221220
2006-07-01,209494
2006-08-01,210473
2006-09-01,234701
2006-10-01,216952
2006-11-01,224809
2006-12-01,229243
2007-01-01,222969
2007-02-01,220962
2007-03-01,229526
2007-04-01,233420
2007-05-01,228836
2007-06-01,228868
2007-07-01,233176
2007-08-01,235758
2007-09-01,226473
2007-10-01,230700
2007-11-01,227005
2007-12-01,244443
2008-01-01,239389
2008-02-01,235037
2008-03-01,234868
2008-04-01,231086
2008-05-01,227370
2008-06-01,229262
2008-07-01,220411
2008-08-01,214106
2008-09-01,215245
2008-10-01,191912
2008-11-01,181552
2008-12-01,173849
2009-01-01,151085
2009-02-01,148834
2009-03-01,146323
2009-04-01,147467
2009-05-01,149255
2009-06-01,147033
2009-07-01,153691
2009-08-01,157489
2009-09-01,158041
2009-10-01,161097
2009-11-01,160419
2009-12-01,160520
2010-01-01,181016
2010-02-01,180450
2010-03-01,182148
2010-04-01,182948
2010-05-01,189932
2010-06-01,185667
2010-07-01,187506
2010-08-01,191745
2010-09-01,201932
2010-10-01,193066
2010-11-01,197202
2010-12-01,193452
2011-01-01,203636
2011-02-01,196393
2011-03-01,212748
2011-04-01,200733
2011-05-01,207170
2011-06-01,201579
2011-07-01,206458
2011-08-01,216705
2011-09-01,204738
2011-10-01,210799
2011-11-01,215531
2011-12-01,223835
2012-01-01,225182
2012-02-01,227597
2012-03-01,219960
2012-04-01,218414
2012-05-01,219076
2012-06-01,218755
2012-07-01,225223
2012-08-01,200423
2012-09-01,217241
2012-10-01,219017
2012-11-01,214689
2012-12-01,230992
2013-01-01,222797
2013-02-01,235952
2013-03-01,215188
2013-04-01,226541
2013-05-01,235258
2013-06-01,248010
2013-07-01,223780
2013-08-01,225010
2013-09-01,238632
2013-10-01,231962
2013-11-01,241389
2013-12-01,238377
2014-01-01,223144
2014-02-01,232711
2014-03-01,233153
2014-04-01,237372
2014-05-01,232959
2014-06-01,240181
2014-07-01,303162
2014-08-01,236666
2014-09-01,237534
2014-10-01,232089
2014-11-01,226155
2014-12-01,225835
2015-01-01,224061
2015-02-01,218966
2015-03-01,227573
2015-04-01,224339
2015-05-01,217332
2015-06-01,232766
2015-07-01,230189
2015-08-01,222647
2015-09-01,218738
2015-10-01,226032
2015-11-01,223223
2015-12-01,217474
2016-01-01,226905
2016-02-01,217371
2016-03-01,216899
2016-04-01,228585
2016-05-01,221991
2016-06-01,209356
2016-07-01,217997
2016-08-01,219140
2016-09-01,216058
2016-10-01,234217
2016-11-01,216703
2016-12-01,218450
2017-01-01,218011
2017-02-01,221815
2017-03-01,221965
2017-04-01,222025
2017-05-01,222398
2017-06-01,238347
2017-07-01,218978
2017-08-01,223602
2017-09-01,228198
2017-10-01,229757
2017-11-01,229646
2017-12-01,239903
2018-01-01,225906
2018-02-01,234140
2018-03-01,242658
2018-04-01,239492
2018-05-01,240608
2018-06-01,243274
2018-07-01,234585
2018-08-01,244108
2018-09-01,244834
2018-10-01,239723
2018-11-01,231653
2018-12-01,238448
2019-01-01,229028
2019-02-01,223455
2019-03-01,233044
2019-04-01,223929
2019-05-01,217479
2019-06-01,219553
2019-07-01,225239
2019-08-01,224546
2019-09-01,221949
2019-10-01,222975
2019-11-01,212779
2019-12-01,215324
2020-01-01,225551
2020-02-01,231488
2020-03-01,200119
2020-04-01,159130
2020-05-01,179384
2020-06-01,198774
2020-07-01,218041
2020-08-01,221086
2020-09-01,225593
2020-10-01,229735
2020-11-01,228470
2020-12-01,231460
2021-01-01,237284
2021-02-01,237479
2021-03-01,241392
2021-04-01,236566
2021-05-01,241545
2021-06-01,245826
2021-07-01,246741
2021-08-01,250577
2021-09-01,246849
2021-10-01,250503
2021-11-01,254074
2021-12-01,256464
2022-01-01,264356
2022-02-01,262494
2022-03-01,264258
2022-04-01,265274
2022-05-01,267202
