observation_date,DPCERA3M086SBEA_20190301
1966-05-01,24.007
1966-06-01,24.070
1966-07-01,24.279
1966-08-01,24.316
1966-09-01,24.541
1966-10-01,24.433
1966-11-01,24.484
1966-12-01,24.523
1967-01-01,24.639
1967-02-01,24.548
1967-03-01,24.676
1967-04-01,24.910
1967-05-01,24.909
1967-06-01,25.055
1967-07-01,24.966
1967-08-01,25.041
1967-09-01,25.250
1967-10-01,25.013
1967-11-01,25.184
1967-12-01,25.520
1968-01-01,25.683
1968-02-01,25.709
1968-03-01,26.140
1968-04-01,26.043
1968-05-01,26.222
1968-06-01,26.447
1968-07-01,26.693
1968-08-01,26.766
1968-09-01,26.729
1968-10-01,26.773
1968-11-01,26.921
1968-12-01,26.855
1969-01-01,27.072
1969-02-01,27.245
1969-03-01,27.125
1969-04-01,27.236
1969-05-01,27.419
1969-06-01,27.314
1969-07-01,27.277
1969-08-01,27.528
1969-09-01,27.562
1969-10-01,27.705
1969-11-01,27.673
1969-12-01,27.648
1970-01-01,27.813
1970-02-01,27.935
1970-03-01,27.793
1970-04-01,27.814
1970-05-01,28.005
1970-06-01,28.100
1970-07-01,28.093
1970-08-01,28.211
1970-09-01,28.351
1970-10-01,28.179
1970-11-01,27.993
1970-12-01,28.254
1971-01-01,28.641
1971-02-01,28.695
1971-03-01,28.710
1971-04-01,28.882
1971-05-01,28.861
1971-06-01,29.094
1971-07-01,28.969
1971-08-01,29.135
1971-09-01,29.425
1971-10-01,29.497
1971-11-01,29.647
1971-12-01,29.838
1972-01-01,29.842
1972-02-01,29.914
1972-03-01,30.400
1972-04-01,30.489
1972-05-01,30.642
1972-06-01,30.741
1972-07-01,30.967
1972-08-01,31.134
1972-09-01,31.187
1972-10-01,31.702
1972-11-01,31.826
1972-12-01,31.949
1973-01-01,32.261
1973-02-01,32.458
1973-03-01,32.501
1973-04-01,32.374
1973-05-01,32.442
1973-06-01,32.361
1973-07-01,32.618
1973-08-01,32.214
1973-09-01,32.686
1973-10-01,32.462
1973-11-01,32.521
1973-12-01,32.245
1974-01-01,32.227
1974-02-01,32.041
1974-03-01,32.090
1974-04-01,32.198
1974-05-01,32.292
1974-06-01,32.215
1974-07-01,32.321
1974-08-01,32.563
1974-09-01,32.236
1974-10-01,32.147
1974-11-01,31.808
1974-12-01,31.746
1975-01-01,32.005
1975-02-01,32.284
1975-03-01,32.215
1975-04-01,32.251
1975-05-01,32.896
1975-06-01,32.943
1975-07-01,33.077
1975-08-01,33.162
1975-09-01,33.246
1975-10-01,33.244
1975-11-01,33.496
1975-12-01,33.815
1976-01-01,34.151
1976-02-01,34.122
1976-03-01,34.292
1976-04-01,34.537
1976-05-01,34.290
1976-06-01,34.682
1976-07-01,34.782
1976-08-01,34.843
1976-09-01,34.974
1976-10-01,35.028
1976-11-01,35.230
1976-12-01,35.698
1977-01-01,35.595
1977-02-01,35.793
1977-03-01,35.817
1977-04-01,35.867
1977-05-01,35.966
1977-06-01,35.953
1977-07-01,36.245
1977-08-01,36.224
1977-09-01,36.337
1977-10-01,36.640
1977-11-01,36.864
1977-12-01,36.937
1978-01-01,36.542
1978-02-01,37.075
1978-03-01,37.445
1978-04-01,37.671
1978-05-01,37.821
1978-06-01,37.944
1978-07-01,37.764
1978-08-01,38.105
1978-09-01,38.044
1978-10-01,38.108
1978-11-01,38.246
1978-12-01,38.477
1979-01-01,38.339
1979-02-01,38.525
1979-03-01,38.562
1979-04-01,38.345
1979-05-01,38.454
1979-06-01,38.552
1979-07-01,38.515
1979-08-01,38.931
1979-09-01,39.028
1979-10-01,38.894
1979-11-01,38.993
1979-12-01,38.876
1980-01-01,39.189
1980-02-01,38.862
1980-03-01,38.545
1980-04-01,38.055
1980-05-01,37.869
1980-06-01,38.047
1980-07-01,38.374
1980-08-01,38.420
1980-09-01,38.427
1980-10-01,38.906
1980-11-01,38.798
1980-12-01,39.073
1981-01-01,39.084
1981-02-01,38.986
1981-03-01,39.100
1981-04-01,38.959
1981-05-01,38.977
1981-06-01,39.241
1981-07-01,39.160
1981-08-01,39.409
1981-09-01,39.150
1981-10-01,38.941
1981-11-01,38.867
1981-12-01,39.106
1982-01-01,39.037
1982-02-01,39.391
1982-03-01,39.347
1982-04-01,39.370
1982-05-01,39.489
1982-06-01,39.275
1982-07-01,39.504
1982-08-01,39.533
1982-09-01,39.889
1982-10-01,40.064
1982-11-01,40.387
1982-12-01,40.558
1983-01-01,40.600
1983-02-01,40.589
1983-03-01,41.016
1983-04-01,41.268
1983-05-01,41.513
1983-06-01,41.913
1983-07-01,42.197
1983-08-01,42.309
1983-09-01,42.424
1983-10-01,42.763
1983-11-01,42.859
1983-12-01,43.330
1984-01-01,43.605
1984-02-01,43.029
1984-03-01,43.388
1984-04-01,43.685
1984-05-01,43.931
1984-06-01,44.228
1984-07-01,44.051
1984-08-01,44.226
1984-09-01,44.545
1984-10-01,44.398
1984-11-01,45.038
1984-12-01,45.107
1985-01-01,45.511
1985-02-01,45.681
1985-03-01,45.636
1985-04-01,45.759
1985-05-01,46.286
1985-06-01,46.040
1985-07-01,46.377
1985-08-01,46.844
1985-09-01,47.487
1985-10-01,46.749
1985-11-01,46.872
1985-12-01,47.391
1986-01-01,47.439
1986-02-01,47.322
1986-03-01,47.483
1986-04-01,47.776
1986-05-01,48.063
1986-06-01,47.956
1986-07-01,48.271
1986-08-01,48.502
1986-09-01,49.565
1986-10-01,48.828
1986-11-01,48.666
1986-12-01,49.741
1987-01-01,48.494
1987-02-01,49.415
1987-03-01,49.474
1987-04-01,49.708
1987-05-01,49.739
1987-06-01,49.947
1987-07-01,50.189
1987-08-01,50.574
1987-09-01,50.336
1987-10-01,50.305
1987-11-01,50.364
1987-12-01,50.749
1988-01-01,51.185
1988-02-01,51.232
1988-03-01,51.676
1988-04-01,51.465
1988-05-01,51.798
1988-06-01,51.968
1988-07-01,52.093
1988-08-01,52.331
1988-09-01,52.186
1988-10-01,52.613
1988-11-01,52.745
1988-12-01,53.033
1989-01-01,53.128
1989-02-01,53.016
1989-03-01,52.982
1989-04-01,53.296
1989-05-01,53.234
1989-06-01,53.338
1989-07-01,53.496
1989-08-01,54.011
1989-09-01,53.909
1989-10-01,53.873
1989-11-01,53.899
1989-12-01,54.346
1990-01-01,54.617
1990-02-01,54.341
1990-03-01,54.524
1990-04-01,54.629
1990-05-01,54.589
1990-06-01,54.762
1990-07-01,54.874
1990-08-01,54.891
1990-09-01,54.865
1990-10-01,54.559
1990-11-01,54.509
1990-12-01,54.310
1991-01-01,53.820
1991-02-01,54.153
1991-03-01,54.790
1991-04-01,54.608
1991-05-01,54.747
1991-06-01,54.756
1991-07-01,55.024
1991-08-01,54.940
1991-09-01,54.966
1991-10-01,54.745
1991-11-01,55.004
1991-12-01,55.098
1992-01-01,55.902
1992-02-01,55.965
1992-03-01,56.067
1992-04-01,56.114
1992-05-01,56.404
1992-06-01,56.556
1992-07-01,56.745
1992-08-01,56.886
1992-09-01,57.256
1992-10-01,57.449
1992-11-01,57.547
1992-12-01,57.927
1993-01-01,57.843
1993-02-01,57.950
1993-03-01,57.794
1993-04-01,58.182
1993-05-01,58.385
1993-06-01,58.597
1993-07-01,58.886
1993-08-01,58.945
1993-09-01,59.283
1993-10-01,59.375
1993-11-01,59.542
1993-12-01,59.752
1994-01-01,59.915
1994-02-01,60.395
1994-03-01,60.403
1994-04-01,60.658
1994-05-01,60.550
1994-06-01,60.912
1994-07-01,60.871
1994-08-01,61.272
1994-09-01,61.364
1994-10-01,61.746
1994-11-01,61.791
1994-12-01,61.955
1995-01-01,61.952
1995-02-01,61.838
1995-03-01,62.164
1995-04-01,62.062
1995-05-01,62.510
1995-06-01,63.011
1995-07-01,62.840
1995-08-01,63.148
1995-09-01,63.296
1995-10-01,63.049
1995-11-01,63.575
1995-12-01,63.980
1996-01-01,63.691
1996-02-01,64.180
1996-03-01,64.491
1996-04-01,64.729
1996-05-01,64.813
1996-06-01,64.889
1996-07-01,65.026
1996-08-01,65.250
1996-09-01,65.333
1996-10-01,65.527
1996-11-01,65.690
1996-12-01,65.950
1997-01-01,66.262
1997-02-01,66.402
1997-03-01,66.580
1997-04-01,66.577
1997-05-01,66.618
1997-06-01,66.947
1997-07-01,67.572
1997-08-01,67.983
1997-09-01,67.997
1997-10-01,68.344
1997-11-01,68.625
1997-12-01,69.016
1998-01-01,68.955
1998-02-01,69.402
1998-03-01,69.711
1998-04-01,70.083
1998-05-01,70.590
1998-06-01,71.059
1998-07-01,71.104
1998-08-01,71.429
1998-09-01,71.960
1998-10-01,72.203
1998-11-01,72.399
1998-12-01,72.990
1999-01-01,72.885
1999-02-01,73.251
1999-03-01,73.567
1999-04-01,73.985
1999-05-01,74.300
1999-06-01,74.622
1999-07-01,74.753
1999-08-01,75.156
1999-09-01,75.513
1999-10-01,75.669
1999-11-01,76.026
1999-12-01,77.030
2000-01-01,76.772
2000-02-01,77.513
2000-03-01,77.955
2000-04-01,77.859
2000-05-01,78.229
2000-06-01,78.395
2000-07-01,78.441
2000-08-01,78.857
2000-09-01,79.487
2000-10-01,79.436
2000-11-01,79.496
2000-12-01,79.890
2001-01-01,79.888
2001-02-01,79.992
2001-03-01,79.897
2001-04-01,79.905
2001-05-01,80.215
2001-06-01,80.224
2001-07-01,80.382
2001-08-01,80.806
2001-09-01,79.980
2001-10-01,81.913
2001-11-01,81.503
2001-12-01,81.358
2002-01-01,81.601
2002-02-01,81.967
2002-03-01,81.955
2002-04-01,82.370
2002-05-01,82.057
2002-06-01,82.357
2002-07-01,82.890
2002-08-01,82.973
2002-09-01,82.709
2002-10-01,82.999
2002-11-01,83.240
2002-12-01,83.761
2003-01-01,83.758
2003-02-01,83.460
2003-03-01,83.959
2003-04-01,84.377
2003-05-01,84.570
2003-06-01,85.050
2003-07-01,85.468
2003-08-01,86.252
2003-09-01,86.003
2003-10-01,86.126
2003-11-01,86.611
2003-12-01,86.733
2004-01-01,87.005
2004-02-01,87.154
2004-03-01,87.620
2004-04-01,87.597
2004-05-01,88.118
2004-06-01,87.692
2004-07-01,88.376
2004-08-01,88.695
2004-09-01,89.249
2004-10-01,89.439
2004-11-01,89.588
2004-12-01,90.190
2005-01-01,89.955
2005-02-01,90.334
2005-03-01,90.499
2005-04-01,91.062
2005-05-01,90.999
2005-06-01,91.799
2005-07-01,92.507
2005-08-01,92.168
2005-09-01,91.844
2005-10-01,92.126
2005-11-01,92.446
2005-12-01,92.767
2006-01-01,93.245
2006-02-01,93.509
2006-03-01,93.679
2006-04-01,93.820
2006-05-01,93.999
2006-06-01,94.034
2006-07-01,94.531
2006-08-01,94.224
2006-09-01,94.809
2006-10-01,95.228
2006-11-01,95.264
2006-12-01,95.816
2007-01-01,95.953
2007-02-01,95.957
2007-03-01,96.001
2007-04-01,96.104
2007-05-01,96.192
2007-06-01,96.149
2007-07-01,96.414
2007-08-01,96.791
2007-09-01,96.865
2007-10-01,96.878
2007-11-01,97.070
2007-12-01,96.949
2008-01-01,96.902
2008-02-01,96.536
2008-03-01,96.685
2008-04-01,96.842
2008-05-01,96.960
2008-06-01,96.791
2008-07-01,96.346
2008-08-01,96.332
2008-09-01,95.740
2008-10-01,95.530
2008-11-01,95.283
2008-12-01,94.920
2009-01-01,95.401
2009-02-01,95.035
2009-03-01,94.652
2009-04-01,94.564
2009-05-01,94.683
2009-06-01,94.686
2009-07-01,95.017
2009-08-01,95.891
2009-09-01,94.985
2009-10-01,95.086
2009-11-01,94.933
2009-12-01,95.449
2010-01-01,95.287
2010-02-01,95.577
2010-03-01,96.016
2010-04-01,96.203
2010-05-01,96.355
2010-06-01,96.603
2010-07-01,96.836
2010-08-01,97.120
2010-09-01,97.227
2010-10-01,97.467
2010-11-01,97.755
2010-12-01,97.887
2011-01-01,97.973
2011-02-01,98.014
2011-03-01,98.369
2011-04-01,98.303
2011-05-01,98.229
2011-06-01,98.476
2011-07-01,98.671
2011-08-01,98.646
2011-09-01,98.846
2011-10-01,98.978
2011-11-01,98.833
2011-12-01,98.893
2012-01-01,99.363
2012-02-01,99.960
2012-03-01,99.763
2012-04-01,99.883
2012-05-01,99.899
2012-06-01,99.749
2012-07-01,99.994
2012-08-01,99.906
2012-09-01,100.119
2012-10-01,100.173
2012-11-01,100.574
2012-12-01,100.617
2013-01-01,100.993
2013-02-01,100.956
2013-03-01,100.977
2013-04-01,100.857
2013-05-01,101.145
2013-06-01,101.142
2013-07-01,101.268
2013-08-01,101.407
2013-09-01,101.702
2013-10-01,102.009
2013-11-01,102.461
2013-12-01,102.530
2014-01-01,102.279
2014-02-01,102.720
2014-03-01,103.191
2014-04-01,103.505
2014-05-01,103.760
2014-06-01,104.234
2014-07-01,104.448
2014-08-01,105.196
2014-09-01,105.276
2014-10-01,105.880
2014-11-01,106.185
2014-12-01,106.477
2015-01-01,106.834
2015-02-01,107.014
2015-03-01,107.454
2015-04-01,107.702
2015-05-01,108.090
2015-06-01,108.213
2015-07-01,108.509
2015-08-01,108.829
2015-09-01,108.968
2015-10-01,109.172
2015-11-01,109.363
2015-12-01,109.616
2016-01-01,109.638
2016-02-01,110.331
2016-03-01,110.147
2016-04-01,110.640
2016-05-01,110.901
2016-06-01,111.364
2016-07-01,111.387
2016-08-01,111.649
2016-09-01,112.056
2016-10-01,112.146
2016-11-01,112.383
2016-12-01,112.699
2017-01-01,112.744
2017-02-01,112.575
2017-03-01,113.407
2017-04-01,113.496
2017-05-01,113.711
2017-06-01,113.923
2017-07-01,114.071
2017-08-01,114.209
2017-09-01,114.732
2017-10-01,115.041
2017-11-01,115.576
2017-12-01,115.706
2018-01-01,115.574
2018-02-01,115.272
2018-03-01,115.926
2018-04-01,116.284
2018-05-01,116.680
2018-06-01,117.056
2018-07-01,117.450
2018-08-01,117.804
2018-09-01,117.799
2018-10-01,118.342
2018-11-01,118.949
2018-12-01,118.241
