observation_date,DGORDER_20150901
2003-08-01,174406
2003-09-01,178217
2003-10-01,183356
2003-11-01,182112
2003-12-01,181003
2004-01-01,176956
2004-02-01,180501
2004-03-01,191675
2004-04-01,184064
2004-05-01,183500
2004-06-01,185515
2004-07-01,187265
2004-08-01,185326
2004-09-01,188107
2004-10-01,185726
2004-11-01,192739
2004-12-01,192683
2005-01-01,193362
2005-02-01,195032
2005-03-01,187050
2005-04-01,195011
2005-05-01,206306
2005-06-01,209078
2005-07-01,197379
2005-08-01,205223
2005-09-01,204281
2005-10-01,209892
2005-11-01,222367
2005-12-01,219888
2006-01-01,207767
2006-02-01,217518
2006-03-01,227782
2006-04-01,214220
2006-05-01,215787
2006-06-01,221022
2006-07-01,212237
2006-08-01,210705
2006-09-01,236173
2006-10-01,217027
2006-11-01,225701
2006-12-01,229241
2007-01-01,218760
2007-02-01,221076
2007-03-01,228689
2007-04-01,233533
2007-05-01,227310
2007-06-01,229692
2007-07-01,239281
2007-08-01,233946
2007-09-01,225996
2007-10-01,229265
2007-11-01,232492
2007-12-01,242568
2008-01-01,237095
2008-02-01,233566
2008-03-01,230485
2008-04-01,229643
2008-05-01,230069
2008-06-01,229259
2008-07-01,224259
2008-08-01,217064
2008-09-01,211101
2008-10-01,192047
2008-11-01,183919
2008-12-01,173398
2009-01-01,152945
2009-02-01,145057
2009-03-01,144836
2009-04-01,143798
2009-05-01,150316
2009-06-01,145398
2009-07-01,156288
2009-08-01,157920
2009-09-01,156902
2009-10-01,162351
2009-11-01,161451
2009-12-01,158417
2010-01-01,181928
2010-02-01,175894
2010-03-01,179486
2010-04-01,187167
2010-05-01,186163
2010-06-01,185861
2010-07-01,189993
2010-08-01,192128
2010-09-01,199805
2010-10-01,194468
2010-11-01,196289
2010-12-01,193718
2011-01-01,204156
2011-02-01,193472
2011-03-01,210603
2011-04-01,200245
2011-05-01,205798
2011-06-01,198954
2011-07-01,208723
2011-08-01,215179
2011-09-01,207654
2011-10-01,208098
2011-11-01,216765
2011-12-01,226170
2012-01-01,226235
2012-02-01,225020
2012-03-01,222518
2012-04-01,221305
2012-05-01,218602
2012-06-01,221630
2012-07-01,227816
2012-08-01,203687
2012-09-01,216361
2012-10-01,220866
2012-11-01,219347
2012-12-01,229722
2013-01-01,219312
2013-02-01,230445
2013-03-01,212088
2013-04-01,221262
2013-05-01,230339
2013-06-01,239960
2013-07-01,218282
2013-08-01,219764
2013-09-01,228991
2013-10-01,224735
2013-11-01,237387
2013-12-01,228487
2014-01-01,226163
2014-02-01,232804
2014-03-01,238347
2014-04-01,241137
2014-05-01,234842
2014-06-01,242127
2014-07-01,299868
2014-08-01,241789
2014-09-01,238191
2014-10-01,237754
2014-11-01,235940
2014-12-01,226739
2015-01-01,233371
2015-02-01,225263
2015-03-01,236671
2015-04-01,232569
2015-05-01,227279
2015-06-01,236489
2015-07-01,241108
